"","year","yday","hour","X","datetime","do","wtemp","do_eq","o2_sat","par","wspeed","PAR_Kd","par_int","z","k","series","unique_series","series_length","unique_day","index"
"411",2021,199,4,1325,2021-07-18 04:00:00,7.19716666666667,20.1523333333333,7.19453693673938,1.00036551760737,0,0,0.0809881842,1e-05,3,0.00892552362944662,1,1,4383,18,411
"412",2021,199,5,1327,2021-07-18 05:00:00,7.39058333333333,19.5780833333333,7.27885354973996,1.01534991504223,5.98966666666667,0,0.0809881842,5.3175460831235,3,0.00879938179195727,1,1,4383,18,412
"413",2021,199,6,1329,2021-07-18 06:00:00,7.497,19.3916666666667,7.30659130827121,1.02605985249418,35.938,0,0.0809881842,31.905276498741,3,0.0087585874461066,1,1,4383,18,413
"414",2021,199,7,1331,2021-07-18 07:00:00,7.19658333333333,19.67825,7.2640241117082,0.990715782693209,166.829833333333,0,0.0809881842,148.10929825641,3,0.00882133315946165,1,1,4383,18,414
"415",2021,199,8,1333,2021-07-18 08:00:00,7.16675,19.6935833333333,7.26175863774043,0.986916580062761,385.2765,0,0.0809881842,342.043331876208,3,0.00882469536937923,1,1,4383,18,415
"416",2021,199,9,1335,2021-07-18 09:00:00,7.21891666666667,19.7865,7.24805632713887,0.995979658661993,362.0225,0,0.0809881842,321.398741200552,3,0.00884508058750251,1,1,4383,18,416
"417",2021,199,10,1337,2021-07-18 10:00:00,7.29275,19.9686666666667,7.22132112908578,1.00989138547329,429.318166666667,0,0.0809881842,381.142935428587,3,0.00888510100522621,1,1,4383,18,417
"418",2021,199,11,1339,2021-07-18 11:00:00,7.3115,20.1294166666667,7.19786955906432,1.01578667687755,1235.1045,0.0673829899893761,0.0809881842,1096.50928202291,3,0.00924646173810333,1,1,4383,18,418
"419",2021,199,12,1341,2021-07-18 12:00:00,7.32716666666667,20.3659166666667,7.16360385118823,1.02283247634517,1669.35533333333,0.269531959957504,0.0809881842,1482.03137304936,3,0.0102841872841882,1,1,4383,18,419
"420",2021,199,13,1343,2021-07-18 13:00:00,7.38683333333333,20.5960833333333,7.13052356398486,1.03594543472839,1193.8815,0.247070963294379,0.0809881842,1059.91205309788,3,0.0102325707028734,1,1,4383,18,420
"421",2021,199,14,1345,2021-07-18 14:00:00,7.418,20.7335,7.11089817365363,1.04318748755034,971.383,0.269531959957504,0.0809881842,862.380855951263,3,0.0103773566296507,1,1,4383,18,421
"422",2021,199,15,1347,2021-07-18 15:00:00,7.34808333333333,20.7780833333333,7.10455079267054,1.03427838687761,274.643833333333,0.0673829899893761,0.0809881842,243.825127752633,3,0.00939501095841777,1,1,4383,18,422
"423",2021,199,16,1349,2021-07-18 16:00:00,7.32691666666667,20.7275,7.11175314177695,1.03025463913051,189.026833333333,0.0898439866525015,0.0809881842,167.815498446809,3,0.00949366439976584,1,1,4383,18,423
"424",2021,199,17,1351,2021-07-18 17:00:00,7.3155,20.7374166666667,7.11034016438016,1.02885373004341,206.291166666667,0.0898439866525015,0.0809881842,183.142543039342,3,0.00949596830647195,1,1,4383,18,424
"425",2021,199,18,1353,2021-07-18 18:00:00,7.34633333333333,20.6833333333333,7.11805207716159,1.03207074824645,99.8865,0.0224609966631254,0.0809881842,88.6779008567948,3,0.00915295017067224,1,1,4383,18,425
"426",2021,199,19,1355,2021-07-18 19:00:00,7.32225,20.6846666666667,7.11786178079296,1.028714833963,23.4301666666667,0.0673829899893761,0.0809881842,20.8009890898654,3,0.00937356008239229,1,1,4383,18,426
"427",2021,199,20,1357,2021-07-18 20:00:00,7.28858333333333,20.6384166666667,7.12446778050403,1.02303548249294,0,0,0.0809881842,1e-05,3,0.00903285463915804,1,1,4383,18,427
"428",2021,199,21,1359,2021-07-18 21:00:00,7.31958333333333,20.2820833333333,7.17571809576368,1.0200488976364,0,0,0.0809881842,1e-05,3,0.00895412373414345,1,1,4383,18,428
"429",2021,199,22,1361,2021-07-18 22:00:00,7.27241666666667,20.2645,7.17826341666383,1.01311643841103,0,0,0.0809881842,1e-05,3,0.00895024581059257,1,1,4383,18,429
"430",2021,199,23,1363,2021-07-18 23:00:00,7.29166666666667,20.23675,7.18228359370858,1.01522956752277,0,0,0.0809881842,1e-05,3,0.00894412702874111,1,1,4383,18,430
"431",2021,200,0,1365,2021-07-19 00:00:00,7.25808333333333,20.218,7.18500211801751,1.01017135612703,0,0,0.0813114468,1e-05,3,0.00893999365491692,1,1,4383,19,431
"432",2021,200,1,1367,2021-07-19 01:00:00,7.25816666666667,20.18725,7.18946432386487,1.00955597520301,0,0,0.0813114468,1e-05,3,0.00893321656035712,1,1,4383,19,432
"433",2021,200,2,1369,2021-07-19 02:00:00,7.25175,20.2835833333333,7.1755010310904,1.01062629195916,0,0,0.0813114468,1e-05,3,0.00895445458305738,1,1,4383,19,433
"434",2021,200,3,1371,2021-07-19 03:00:00,7.2195,20.3315833333333,7.16856090631229,1.00710590233569,0,0,0.0813114468,1e-05,3,0.0089650443035512,1,1,4383,19,434
"435",2021,200,4,1373,2021-07-19 04:00:00,7.2045,20.3335,7.16828402242781,1.00505225203952,0,0,0.0813114468,1e-05,3,0.00896546725984961,1,1,4383,19,435
"436",2021,200,5,1375,2021-07-19 05:00:00,7.17941666666667,20.3449166666667,7.16663513763594,1.00178347701331,2.46633333333333,0,0.0813114468,2.18855935935252,3,0.00896798677189046,1,1,4383,19,436
"437",2021,200,6,1377,2021-07-19 06:00:00,7.15575,20.3504166666667,7.16584101661615,0.998591788934091,72.933,0,0.0813114468,64.7188267694245,3,0.00896920065143872,1,1,4383,19,437
"438",2021,200,7,1379,2021-07-19 07:00:00,7.1655,20.3785,7.16178853876003,1.00051823105637,214.747166666667,0,0.0813114468,190.560989932194,3,0.0089753998077987,1,1,4383,19,438
"439",2021,200,8,1381,2021-07-19 08:00:00,7.17758333333333,20.2919166666667,7.17429532141143,1.00045830451279,390.737666666667,0.0449219933262507,0.0813114468,346.730332788849,3,0.0091744891274954,1,1,4383,19,439
"440",2021,200,9,1383,2021-07-19 09:00:00,7.20816666666667,20.22975,7.18329830286755,1.00346197007984,823.9315,0.157226976641878,0.0813114468,731.135151692266,3,0.00970510230320524,1,1,4383,19,440
"441",2021,200,10,1385,2021-07-19 10:00:00,7.216,20.4955833333333,7.14493546814226,1.00994614047595,1166.928,0.247070963294379,0.0813114468,1035.50122831079,3,0.0102073691895348,1,1,4383,19,441
"442",2021,200,11,1387,2021-07-19 11:00:00,7.24466666666667,20.67975,7.11856354182498,1.01771468697312,1063.16583333333,0.29199295662063,0.0813114468,943.425409549461,3,0.0104738544031412,1,1,4383,19,442
"443",2021,200,12,1389,2021-07-19 12:00:00,7.27958333333333,20.8401666666667,7.09572805494517,1.02591069964414,1246.90766666667,0.29199295662063,0.0813114468,1106.47308182122,3,0.0105150304891185,1,1,4383,19,443
"444",2021,200,13,1391,2021-07-19 13:00:00,7.31191666666667,20.9139166666667,7.08527168701975,1.03198818473851,621.339833333333,0.179687973305003,0.0813114468,551.36063288831,3,0.00998010945573601,1,1,4383,19,444
"445",2021,200,14,1393,2021-07-19 14:00:00,7.3575,20.99125,7.07433554124852,1.04002700424661,644.065333333333,0.515105523474342,0.0813114468,571.526644128058,3,0.0116563078489254,1,1,4383,19,445
"446",2021,200,15,1395,2021-07-19 15:00:00,7.41683333333333,20.978,7.07620724949723,1.04813681564518,256.3225,0.269531959957504,0.0813114468,227.453847704137,3,0.0104395132989707,1,1,4383,19,446
"447",2021,200,16,1397,2021-07-19 16:00:00,7.415,20.771,7.10555860692142,1.04354920002731,483.753666666667,0.224609966631254,0.0813114468,429.270285770144,3,0.010166103269097,1,1,4383,19,447
"448",2021,200,17,1399,2021-07-19 17:00:00,7.46616666666667,20.6930833333333,7.11666073600986,1.04911094453166,407.121166666667,0.29199295662063,0.0813114468,361.268619961691,3,0.0104772743861261,1,1,4383,19,448
"449",2021,200,18,1401,2021-07-19 18:00:00,7.44733333333333,20.7808333333333,7.10415958953595,1.04830602965379,159.254666666667,0.112304983315627,0.0813114468,141.318404346763,3,0.00961647282044665,1,1,4383,19,449
"450",2021,200,19,1403,2021-07-19 19:00:00,7.43291666666667,20.7955,7.10207379531518,1.04658398108588,45.0986666666667,0.0224609966631254,0.0813114468,40.0193711424461,3,0.00917810313246256,1,1,4383,19,450
"451",2021,200,20,1405,2021-07-19 20:00:00,7.37708333333333,20.7408333333333,7.10985345154925,1.03758584949818,0,0,0.0813114468,1e-05,3,0.00905553383239356,1,1,4383,19,451
"452",2021,200,21,1407,2021-07-19 21:00:00,7.3325,20.7488333333333,7.10871405434754,1.03148051025004,0,0,0.0813114468,1e-05,3,0.00905730630639667,1,1,4383,19,452
"453",2021,200,22,1409,2021-07-19 22:00:00,7.3175,20.6685833333333,7.12015781218215,1.027715985098,0,0.0449219933262507,0.0813114468,1e-05,3,0.00925975673728169,1,1,4383,19,453
"454",2021,200,23,1411,2021-07-19 23:00:00,7.27141666666667,20.5919166666667,7.13112008235152,1.01967384964704,0,0.0224609966631254,0.0813114468,1e-05,3,0.00913247058339548,1,1,4383,19,454
"455",2021,201,0,1413,2021-07-20 00:00:00,7.24125,20.5485833333333,7.13732894574388,1.01456021644037,0,0,0.0816347094,1e-05,3,0.00901298047440296,1,1,4383,20,455
"456",2021,201,1,1415,2021-07-20 01:00:00,7.27225,20.5498333333333,7.13714971417358,1.01892916517614,0,0,0.0816347094,1e-05,3,0.00901325689757802,1,1,4383,20,456
"457",2021,201,2,1417,2021-07-20 02:00:00,7.24541666666667,20.511,7.14272144653901,1.01437760395618,0,0,0.0816347094,1e-05,3,0.00900467091926734,1,1,4383,20,457
"458",2021,201,3,1419,2021-07-20 03:00:00,7.239,20.4696666666667,7.14866007026063,1.01263732347761,0,0,0.0816347094,1e-05,3,0.00899553575608099,1,1,4383,20,458
"459",2021,201,4,1421,2021-07-20 04:00:00,7.21791666666667,20.2721666666667,7.17715341800673,1.00567958440984,0,0,0.0816347094,1e-05,3,0.00895193657699179,1,1,4383,20,459
"460",2021,201,5,1423,2021-07-20 05:00:00,7.65591666666667,19.0083333333333,7.36420521967109,1.03961207466304,4.40416666666667,0,0.0816347094,3.90632422217283,3,0.00867494289380737,1,1,4383,20,460
"461",2021,201,6,1425,2021-07-20 06:00:00,7.64116666666667,19.1776666666667,7.33865863020849,1.04122116202721,26.6011666666667,0,0.0816347094,23.5941983019239,3,0.00871185156403965,1,1,4383,20,461
"462",2021,201,7,1427,2021-07-20 07:00:00,7.45608333333333,19.6753333333333,7.26445518196392,1.02637887447433,174.228833333333,0,0.0816347094,154.534186229157,3,0.00882069366672199,1,1,4383,20,462
"463",2021,201,8,1429,2021-07-20 08:00:00,7.30183333333333,20.0378333333333,7.21121444193474,1.01256638422394,666.614666666667,0.0898439866525015,0.0816347094,591.261234268079,3,0.00933398045428533,1,1,4383,20,463
"464",2021,201,9,1431,2021-07-20 09:00:00,7.28225,20.3135,7.17117414913256,1.01548921397772,860.750333333333,0.314453953283755,0.0816347094,763.452005981457,3,0.0104892410437478,1,1,4383,20,464
"465",2021,201,10,1433,2021-07-20 10:00:00,7.28483333333333,20.4801666666667,7.14715066645587,1.0192639939051,1692.257,0.493143660070397,0.0816347094,1500.96601912769,3,0.0114042835815291,1,1,4383,20,465
"466",2021,201,11,1435,2021-07-20 11:00:00,7.30625,20.6664166666667,7.1204672190555,1.02609137507821,1883.92633333333,0.381836943273131,0.0816347094,1670.96924927665,3,0.0109108601346148,1,1,4383,20,466
"467",2021,201,12,1437,2021-07-20 12:00:00,7.351,20.7550833333333,7.10782411775283,1.03421242256682,1959.32566666667,0.516602923251884,0.0816347094,1737.84551996025,3,0.0115966384972024,1,1,4383,20,467
"468",2021,201,13,1439,2021-07-20 13:00:00,7.41183333333333,20.8505833333333,7.09424956639698,1.04476636520382,1917.22183333333,0.471680929925633,0.0816347094,1700.50106039627,3,0.0114025338628329,1,1,4383,20,468
"469",2021,201,14,1441,2021-07-20 14:00:00,7.41783333333333,20.8775,7.09043159135983,1.04617514995455,1768.361,0.471680929925633,0.0816347094,1568.46730168683,3,0.0114100317081563,1,1,4383,20,469
"470",2021,201,15,1443,2021-07-20 15:00:00,7.43016666666667,20.8880833333333,7.08893136870868,1.04813635232304,1522.43233333333,0.493642793329578,0.0816347094,1350.3381571207,3,0.0115212249615923,1,1,4383,20,470
"471",2021,201,16,1445,2021-07-20 16:00:00,7.45091666666667,20.8109166666667,7.09988247069625,1.04944225449073,1181.1975,0.471680929925633,0.0816347094,1047.67615638675,3,0.0113914879823722,1,1,4383,20,471
"472",2021,201,17,1447,2021-07-20 17:00:00,7.46941666666667,21.01075,7.07158249050093,1.05625815391394,434.9555,0.493642793329578,0.0816347094,385.788580181788,3,0.0115557474536328,1,1,4383,20,472
"473",2021,201,18,1449,2021-07-20 18:00:00,7.36966666666667,21.6973333333333,6.9758022197612,1.05646152721901,81.0366666666667,0.471680929925633,0.0816347094,71.87636568798,3,0.0116393510608134,1,1,4383,20,473
"474",2021,201,19,1451,2021-07-20 19:00:00,7.42425,21.3391666666667,7.02548945714649,1.05675911198584,25.0156666666667,0.202148969968128,0.0816347094,22.1879215819416,3,0.0101958207927959,1,1,4383,20,474
"475",2021,201,20,1453,2021-07-20 20:00:00,7.38466666666667,20.8993333333333,7.08733723905633,1.04195220540259,0,0.0449219933262507,0.0816347094,1e-05,3,0.00931214698589417,1,1,4383,20,475
"476",2021,201,21,1455,2021-07-20 21:00:00,7.32991666666667,20.9640833333333,7.07817404346457,1.03556604028895,0,0.0898439866525015,0.0816347094,1e-05,3,0.00954868962706814,1,1,4383,20,476
"477",2021,201,22,1457,2021-07-20 22:00:00,7.26458333333333,20.9524166666667,7.07982357305392,1.02609666164318,0,0.0449219933262507,0.0816347094,1e-05,3,0.00932421584173962,1,1,4383,20,477
"478",2021,201,23,1459,2021-07-20 23:00:00,7.25925,20.9648333333333,7.07806802475505,1.02559765950416,0,0.224609966631254,0.0816347094,1e-05,3,0.0102143377973469,1,1,4383,20,478
"479",2021,202,0,1461,2021-07-21 00:00:00,7.20091666666667,20.9068333333333,7.08627482654467,1.01617801213305,0,0.224609966631254,0.081957972,1e-05,3,0.0101998952305031,1,1,4383,21,479
"480",2021,202,1,1463,2021-07-21 01:00:00,7.30908333333333,20.3344166666667,7.16815160618672,1.01966081842144,0,0.157226976641878,0.081957972,1e-05,3,0.00973015651532337,1,1,4383,21,480
"481",2021,202,2,1465,2021-07-21 02:00:00,7.36858333333333,20.0756666666667,7.20569648470493,1.02260528860384,0,0.157226976641878,0.081957972,1e-05,3,0.00966826573225263,1,1,4383,21,481
"482",2021,202,3,1467,2021-07-21 03:00:00,7.39425,20.07,7.20652250089804,1.02604966529676,0,0.179687973305003,0.081957972,1e-05,3,0.00977541462713111,1,1,4383,21,482
"483",2021,202,4,1469,2021-07-21 04:00:00,7.34633333333333,20.0324166666667,7.21200505199959,1.01862564992193,0,0.134765979978752,0.081957972,1e-05,3,0.00954953416601972,1,1,4383,21,483
"484",2021,202,5,1471,2021-07-21 05:00:00,7.31041666666667,20.0190833333333,7.21395180378546,1.01337198604939,2.46633333333333,0.269531959957504,0.081957972,2.18652441366313,3,0.0101965827472761,1,1,4383,21,484
"485",2021,202,6,1473,2021-07-21 06:00:00,7.29083333333333,20.0185,7.21403699479352,1.01064540403594,21.4923333333333,0.112304983315627,0.081957972,19.0539984619215,3,0.0094378840468946,1,1,4383,21,485
"486",2021,202,7,1475,2021-07-21 07:00:00,7.26008333333333,20.01275,7.21487682725034,1.00626573497586,180.570833333333,0,0.081957972,160.084823143193,3,0.00889479652551373,1,1,4383,21,486
"487",2021,202,8,1477,2021-07-21 08:00:00,7.22583333333333,19.9315833333333,7.22674980517765,0.999873183399312,640.189666666667,0.112304983315627,0.081957972,567.559265660843,3,0.00941760676670552,1,1,4383,21,487
